genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
blues;0.705;0.483;1;-12.209;1;0.0542;0.15;0.0265;0.202;0.713;122.863
blues;0.728;0.054;11;-22.557;0;0.038;0.91;0.048;0.12;0.425;78.033
blues;0.566;0.424;7;-8.689;0;0.0392;0.669;0.00456;0.175;0.431;105.768
blues;0.294;0.611;2;-6.268;1;0.0348;0.0226;0.435;0.114;0.567;178.191
blues;0.433;0.7;11;-8.197;1;0.163;0.843;0.324;0.102;0.8;80.623
blues;0.745;0.436;5;-9.617;0;0.043;0.597;0.0213;0.61;0.771;114.216
blues;0.582;0.302;9;-11.624;1;0.0353;0.947;0.0107;0.0931;0.642;94.288
blues;0.596;0.545;11;-8.913;0;0.064;0.456;5.53e-05;0.329;0.718;146.953
blues;0.606;0.301;0;-11.402;1;0.0423;0.545;0.00194;0.0419;0.457;100.979
blues;0.469;0.236;7;-16.981;1;0.0364;0.407;0.0434;0.215;0.415;82.232
blues;0.676;0.334;5;-10.572;1;0.0508;0.862;0.0;0.32;0.867;158.0
blues;0.598;0.735;2;-10.882;1;0.0973;0.44;0.000215;0.681;0.615;111.129
blues;0.581;0.333;0;-14.209;1;0.032;0.944;0.472;0.332;0.488;94.197
blues;0.515;0.43;7;-10.912;1;0.25;0.81;0.0069;0.126;0.624;165.888
blues;0.523;0.568;9;-12.584;1;0.0751;0.652;0.00534;0.1;0.813;135.448
blues;0.441;0.455;10;-14.207;1;0.0485;0.62;0.00187;0.135;0.918;160.9
blues;0.712;0.58;10;-7.233;0;0.0263;0.401;0.000271;0.166;0.887;112.692
blues;0.648;0.544;1;-8.963;1;0.179;0.343;2.93e-06;0.087;0.619;153.063
blues;0.633;0.553;5;-8.485;1;0.0603;0.871;0.00266;0.0555;0.846;159.12
blues;0.621;0.519;11;-13.328;0;0.102;0.837;0.00246;0.162;0.775;117.005
blues;0.565;0.526;0;-11.352;1;0.0365;0.0339;0.000119;0.11;0.637;167.936
blues;0.661;0.342;9;-16.361;0;0.043;0.844;0.000128;0.26;0.588;146.118
blues;0.604;0.108;0;-19.051;1;0.0421;0.88;0.0158;0.125;0.852;164.702
blues;0.803;0.288;7;-15.418;0;0.0629;0.865;0.0593;0.0833;0.865;115.685
blues;0.563;0.542;9;-10.862;1;0.0962;0.706;3.59e-05;0.355;0.785;133.285
blues;0.711;0.483;11;-11.211;1;0.0298;0.434;0.012;0.0284;0.884;91.652
blues;0.654;0.51;6;-9.674;1;0.046;0.197;0.000158;0.163;0.671;113.125
blues;0.642;0.708;9;-13.402;1;0.0543;0.0346;0.0103;0.0844;0.775;108.143
blues;0.675;0.308;6;-8.081;1;0.0348;0.824;3.75e-05;0.0607;0.69;97.446
blues;0.502;0.433;8;-14.619;0;0.0339;0.668;0.002;0.167;0.566;103.467
blues;0.779;0.155;5;-21.57;1;0.112;0.856;7.82e-06;0.0974;0.696;103.252
blues;0.751;0.25;2;-15.964;1;0.0397;0.903;0.000378;0.0884;0.682;84.035
blues;0.675;0.311;9;-11.959;1;0.0525;0.93;0.000261;0.102;0.638;97.159
blues;0.733;0.261;2;-14.56;1;0.0496;0.494;0.0412;0.0581;0.622;91.276
blues;0.636;0.668;0;-6.857;1;0.0568;0.749;0.00121;0.0555;0.666;94.668
blues;0.572;0.348;0;-13.454;1;0.0293;0.438;0.000731;0.235;0.34;73.303
blues;0.628;0.135;9;-20.695;1;0.0435;0.946;1.02e-05;0.0915;0.773;103.664
blues;0.565;0.266;11;-11.708;1;0.0375;0.897;0.571;0.103;0.577;109.976
blues;0.713;0.281;3;-11.057;0;0.0379;0.137;0.0258;0.111;0.397;148.301
blues;0.573;0.564;0;-10.965;1;0.0432;0.0348;0.0;0.0795;0.702;90.79
blues;0.485;0.2;7;-15.57;0;0.0276;0.703;0.919;0.149;0.19;82.827
blues;0.642;0.599;11;-14.734;0;0.277;0.0146;0.00238;0.164;0.889;155.9
blues;0.493;0.244;2;-10.639;1;0.0297;0.994;0.0813;0.119;0.547;85.251
blues;0.513;0.546;0;-15.672;1;0.0391;0.333;0.0;0.17;0.834;85.527
blues;0.473;0.281;1;-11.337;1;0.0354;0.97;0.0936;0.11;0.523;119.161
blues;0.639;0.496;1;-6.844;0;0.0375;0.713;0.254;0.0545;0.467;140.394
blues;0.569;0.208;4;-16.167;1;0.0343;0.441;0.0437;0.141;0.783;106.21
blues;0.538;0.177;0;-14.158;1;0.0447;0.91;0.00825;0.0927;0.415;77.396
blues;0.647;0.204;3;-15.263;1;0.0454;0.964;0.00351;0.123;0.686;83.102
blues;0.499;0.302;7;-15.15;1;0.0495;0.752;0.0266;0.129;0.564;167.075
blues;0.615;0.255;7;-14.599;0;0.0618;0.995;0.0123;0.169;0.69;181.12
blues;0.686;0.134;2;-18.647;0;0.0546;0.928;0.278;0.11;0.328;112.019
blues;0.59;0.424;5;-13.864;0;0.0537;0.934;0.0162;0.149;0.819;106.636
blues;0.394;0.0406;9;-23.179;1;0.044;0.968;0.0453;0.0976;0.2;116.117
blues;0.692;0.625;0;-10.375;1;0.0362;0.883;0.0888;0.282;0.842;118.774
blues;0.49;0.338;2;-13.657;1;0.2;0.472;4.31e-06;0.109;0.463;140.533
blues;0.632;0.554;7;-10.513;1;0.0455;0.535;0.131;0.7;0.706;131.462
blues;0.566;0.64;2;-7.88;1;0.0249;0.903;0.474;0.134;0.332;133.53
blues;0.654;0.616;9;-9.803;1;0.0569;0.0704;0.297;0.198;0.759;123.437
blues;0.57;0.241;4;-12.138;1;0.0473;0.948;0.0224;0.111;0.543;115.352
blues;0.792;0.142;3;-16.024;1;0.0442;0.985;0.184;0.112;0.669;94.375
blues;0.555;0.393;10;-11.949;1;0.0327;0.965;0.015;0.151;0.782;102.5
blues;0.654;0.568;7;-11.979;1;0.0272;0.226;0.00356;0.114;0.762;95.116
blues;0.564;0.274;5;-13.608;0;0.035;0.647;0.303;0.102;0.157;125.148
blues;0.65;0.383;10;-13.074;1;0.0464;0.505;0.0;0.392;0.864;110.522
blues;0.655;0.324;4;-9.412;1;0.0497;0.993;0.0844;0.113;0.405;71.642
blues;0.613;0.28;0;-17.901;1;0.041;0.745;0.154;0.0796;0.612;123.533
blues;0.692;0.493;9;-9.662;0;0.0325;0.0934;0.00166;0.128;0.28;86.644
blues;0.475;0.157;10;-19.063;1;0.0567;0.976;0.0348;0.0776;0.519;169.224
blues;0.69;0.584;3;-8.864;1;0.0746;0.47;2.46e-05;0.297;0.809;118.017
blues;0.477;0.607;9;-8.33;1;0.0471;0.256;0.146;0.107;0.64;87.301
blues;0.639;0.809;0;-6.641;1;0.0472;0.315;0.00792;0.983;0.753;111.768
blues;0.294;0.736;7;-7.961;0;0.151;0.282;0.0418;0.102;0.753;208.576
blues;0.542;0.502;3;-10.607;0;0.0515;0.195;0.00812;0.174;0.948;174.11
blues;0.321;0.625;2;-5.219;0;0.0302;0.491;5.08e-05;0.345;0.777;107.338
blues;0.568;0.221;7;-15.144;1;0.137;0.827;0.097;0.0601;0.356;98.847
blues;0.812;0.248;8;-11.129;1;0.0534;0.986;3.38e-05;0.137;0.742;125.33
