;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
65;0.25;0.135;9;-18.615;1;0.0488;0.958;0.0349;0.0477;0.179;94.404;classical
66;0.0754;0.0102;4;-35.69;1;0.0464;0.901;0.106;0.0817;0.0331;81.324;classical
67;0.112;0.196;8;-14.767;1;0.0418;0.966;0.802;0.117;0.0363;89.321;classical
68;0.273;0.00573;9;-39.245;1;0.0493;0.994;0.913;0.0857;0.174;91.621;classical
69;0.469;0.0128;7;-36.856;1;0.119;0.994;0.937;0.0941;0.354;72.765;classical
70;0.355;0.0164;3;-28.659;1;0.0396;0.995;0.926;0.0986;0.0922;67.946;classical
71;0.138;0.0126;5;-28.316;1;0.0521;0.992;0.787;0.0713;0.0343;174.084;classical
72;0.233;0.0252;2;-24.824;1;0.0346;0.975;0.601;0.143;0.0936;94.736;classical
73;0.0724;0.0659;3;-19.545;1;0.0408;0.947;0.866;0.109;0.0366;70.285;classical
74;0.356;0.207;10;-17.76;1;0.0388;0.95;0.914;0.0802;0.328;146.755;classical
75;0.124;0.0978;4;-22.849;0;0.0432;0.952;0.218;0.112;0.0433;96.309;classical
76;0.169;0.0974;3;-21.414;1;0.042;0.864;0.632;0.087;0.0524;170.379;classical
77;0.0982;0.0575;6;-24.448;0;0.0454;0.984;0.904;0.122;0.0392;70.041;classical
78;0.183;0.0465;4;-22.96;0;0.0462;0.671;0.795;0.0994;0.151;88.055;classical
79;0.0811;0.0122;4;-32.654;0;0.0511;0.902;0.308;0.0648;0.0384;74.554;classical
80;0.343;0.0342;8;-25.591;1;0.0406;0.991;0.92;0.1;0.0378;60.228;classical
81;0.109;0.106;8;-21.555;1;0.0392;0.82;0.816;0.102;0.0334;88.285;classical
82;0.211;0.00756;7;-33.123;1;0.0455;0.994;0.89;0.0734;0.0391;118.247;classical
83;0.102;0.0449;2;-23.95;1;0.0388;0.972;0.771;0.0646;0.0334;90.459;classical
84;0.102;0.0733;10;-24.133;0;0.0488;0.974;0.859;0.28;0.0308;73.954;classical
85;0.099;0.279;7;-12.939;0;0.0346;0.743;0.903;0.114;0.0464;89.755;classical
86;0.253;0.224;7;-12.908;1;0.0321;0.937;0.88;0.116;0.107;76.652;classical
87;0.238;0.0815;2;-22.5;1;0.045;0.983;4.01e-05;0.279;0.0414;128.52;classical
88;0.0783;0.0523;5;-23.247;1;0.0471;0.896;0.945;0.0806;0.0327;82.015;classical
89;0.285;0.428;3;-11.916;1;0.0436;0.852;0.506;0.114;0.48;159.082;classical
90;0.0959;0.00714;5;-36.544;1;0.0427;0.92;0.0281;0.106;0.0532;70.474;classical
91;0.322;0.184;0;-18.312;0;0.0338;0.984;0.902;0.0813;0.356;107.847;classical
92;0.5;0.0123;5;-30.17;1;0.0712;0.995;0.954;0.0748;0.313;130.128;classical
93;0.0752;0.0604;7;-23.96;0;0.0485;0.957;0.902;0.0889;0.034;76.509;classical
94;0.263;0.0764;0;-21.459;1;0.04;0.943;0.815;0.0793;0.159;102.938;classical
95;0.364;0.0592;2;-21.757;1;0.057;0.978;0.0;0.0823;0.185;123.789;classical
96;0.101;0.115;5;-17.553;1;0.0392;0.769;0.891;0.406;0.0374;84.976;classical
97;0.253;0.098;11;-19.878;0;0.0437;0.93;0.862;0.122;0.062;84.865;classical
98;0.291;0.119;11;-20.493;1;0.0439;0.972;0.51;0.296;0.0571;125.103;classical
